end;AE33_BB;AE33_BC1;AE33_BC2;AE33_BC3;AE33_BC4;AE33_BC5;AE33_BC6;AE33_BC7;ComPAS_V4_BKG_Meas_Active;ComPAS_V4_Frequency_1_Hz;ComPAS_V4_Amplitude_1_uPa;ComPAS_V4_Phase_1_deg;ComPAS_V4_Integration_Time_1_us;ComPAS_V4_X1;ComPAS_V4_Y1;ComPAS_V4_Frequency_2_Hz;ComPAS_V4_Amplitude_2_uPa;ComPAS_V4_Phase_2_deg;ComPAS_V4_Integration_Time_2_us;ComPAS_V4_X2;ComPAS_V4_Y2;ComPAS_V4_Blue_60s_Mov_Avg_Mm_1;ComPAS_V4_Blue_P_Mov_Avg_deg;ComPAS_V4_Green_60s_Mov_Avg_Mm_1;ComPAS_V4_Green_P_Mov_Avg_deg;ComPAS_V4_Red_60s_Mov_Avg_Mm_1;ComPAS_V4_Red_P_Mov_Avg_deg;ComPAS_V4_T_Mean_C;ComPAS_V4_R_H_Mean_percent;ComPAS_V4_Pressure_Mean_bar;ComPAS_V4_PD1_Mean_V;ComPAS_V4_Laser_Red_On_per_Off;ComPAS_V4_Laser_Green_On_per_Off;ComPAS_V4_Laser_Blue_On_per_Off;ComPAS_V4_R1_uPa;ComPAS_V4_Theta1_deg;ComPAS_V4_R2_uPa;ComPAS_V4_Theta2_deg;SMPS3080_Export_Mass_Equivalent_diameter_nm;SMPS3080_Export_Median_nm;SMPS3080_Export_Mean_nm;SMPS3080_Export_Geo_Mean_nm;SMPS3080_Export_Mode_nm;SMPS3080_Export_Geo_Std_Dev;SMPS3080_Export_Total_Conc_1_per_cm3
2021-12-14 09:57:30;0;0;0;0;0;0;0;0;0.0;22080.999952;7.083544765;38.260845745;1000000.0;-63.967741935;300.129032258;22080.999952;5.561459212;22.866067296;1000000.0;-68.225806452;51.193548387;0.0;0.0;0.0;0.0;0.0;0.0;18.540483871;17.974462365;0.0;0.0;0.0;0.0;0.0;1.4289756354010095;102.03165834007746;0.3971940669683734;143.11710127005958;0;0;0;0;0;0;0
2021-12-14 09:58:00;0;0;0;0;0;0;0;0;0.0;22080.999952;8.056999859;23.259706395;1000000.0;-96.806451613;141.322580645;22080.999952;5.678115726;43.891249275;1000000.0;-80.870967742;-22.709677419;0.0;0.0;0.0;0.0;0.0;0.0;18.566;17.868182796;0.0;0.0;0.0;0.0;0.0;0.7976760300788706;124.41127690562898;0.3911511260508303;-164.3145293636237;0;0;0;0;0;0;0
2021-12-14 09:58:30;0;0;0;0;0;0;0;0;0.0;22080.999952;8.037601567;53.258131119;1000000.0;-263.967741935;89.483870968;22080.999952;6.468848506;55.361163612;1000000.0;66.322580645;-34.677419355;0.0;0.0;0.0;0.0;0.0;0.0;18.577064516;17.54872043;0.0;0.0;0.0;0.0;0.0;1.2979036163593718;161.27357349708223;0.34850658554726766;-27.60326474909988;0;0;0;0;0;0;0
2021-12-14 09:59:00;0;0;0;0;0;0;0;0;0.0;22080.999952;7.641483631;30.810542793;1000000.0;-114.290322581;-92.774193548;22080.999952;5.545220372;44.366446834;1000000.0;19.580645161;1.870967742;0.0;0.0;0.0;0.0;0.0;0.0;18.601075269;17.31311828;0.0;0.0;0.0;0.0;0.0;0.6854769636894746;-140.93232970987026;0.09159478039133966;5.458149267583744;0;0;0;0;0;0;0
2021-12-14 09:59:30;0;0;0;0;0;0;0;0;0.0;22080.999952;6.85760688;58.392391576;1000000.0;-20.516129032;205.290322581;22080.999952;5.281264436;27.459547392;1000000.0;-29.741935484;-4.290322581;0.0;0.0;0.0;0.0;0.0;0.0;18.604225806;17.26816129;0.0;0.0;0.0;0.0;0.0;0.9607194796968301;95.70702752789465;0.1399302168758062;-171.7916128881532;0;0;0;0;0;0;0
2021-12-14 10:00:00;0;0;0;0;0;0;0;0;0.0;22080.999952;8.023212657;26.893022969;1000000.0;-218.290322581;47.612903226;22080.999952;6.528858163;50.535053755;1000000.0;-17.903225806;-38.580645161;0.0;0.0;0.0;0.0;0.0;0.0;18.613967742;17.266376344;0.0;0.0;0.0;0.0;0.0;1.0403925062690125;167.69551100810608;0.1980561892175065;-114.89350756823661;0;0;0;0;0;0;0
2021-12-14 10:00:30;0;0;0;0;0;0;0;0;0.0;22080.999952;8.964815692;14.463087136;1000000.0;104.741935484;52.419354839;22080.999952;8.296175028;68.814580641;1000000.0;32.580645161;-75.322580645;0.0;0.0;0.0;0.0;0.0;0.0;18.623322581;17.263139785;0.0;0.0;0.0;0.0;0.0;0.5454136584047721;26.586222174924803;0.38215416652504247;-66.60919210861121;0;0;0;0;0;0;0
2021-12-14 10:01:00;0;0;0;0;0;0;0;0;0.0;22080.999952;6.472335967;-10.536555849;1000000.0;-108.096774194;-59.903225806;22080.999952;6.812824718;60.990567635;1000000.0;28.451612903;-58.129032258;0.0;0.0;0.0;0.0;0.0;0.0;18.646236559;17.268150538;0.0;0.0;0.0;0.0;0.0;0.5754885725438501;-151.00640446601028;0.3013687996887334;-63.920278191827535;0;0;0;0;0;0;0
2021-12-14 10:01:30;0;0;0;0;0;0;0;0;0.0;22080.999952;6.889142572;36.064618597;1000000.0;1.096774194;126.193548387;22080.999952;5.193955419;49.415134319;1000000.0;-103.064516129;-7.548387097;0.0;0.0;0.0;0.0;0.0;0.0;18.648516129;17.227010753;0.0;0.0;0.0;0.0;0.0;0.5876566955937365;89.50204308376524;0.48121701110636045;-175.81116835644585;0;0;0;0;0;0;0
2021-12-14 10:02:00;0;0;0;0;0;0;0;0;0.0;22080.999952;7.265910274;8.695591929;1000000.0;-65.806451613;-109.677419355;22080.999952;6.651239689;28.476171134;1000000.0;39.935483871;-16.741935484;0.0;0.0;0.0;0.0;0.0;0.0;18.650397849;17.226989247;0.0;0.0;0.0;0.0;0.0;0.5956029111610538;-120.96375653207352;0.2016445258212892;-22.74462778012763;0;0;0;0;0;0;0
